feature,importance
bandpower_alpha_channel_10,0.09209031
bandpower_alpha_channel_9,0.08976748
bandpower_beta_channel_15,0.088453494
bandpower_theta_channel_11,0.076973446
bandpower_beta_channel_9,0.074236184
bandpower_beta_channel_16,0.06735058
bandpower_alpha_channel_2,0.063886024
bandpower_alpha_channel_15,0.063475676
bandpower_alpha_channel_8,0.061150003
bandpower_beta_channel_7,0.058651008
bandpower_alpha_channel_1,0.0563379
bandpower_alpha_channel_17,0.05400352
bandpower_alpha_channel_4,0.05271787
bandpower_beta_channel_10,0.050684754
bandpower_alpha_channel_7,0.050221775
bandpower_alpha_channel_19,0.0
average_bandpower_alpha,0.0
bandpower_alpha_channel_13,0.0
bandpower_alpha_channel_16,0.0
bandpower_beta_channel_19,0.0
